id,resort_name,town,prefecture,latitude,longitude,url_path,name_ja,address_ja
1,Abashiri Lake View,Abashiri,Hokkaido,43.9882732,144.2239807,hokkaido/abashiri/abashiri-lake-view,網走レークビュー,(北海道 網走市)
2,ABLE Hakuba GORYU,Hakuba,Nagano,36.6630825,137.8365636,nagano/hakuba/hakuba-goryu,エイブル白馬五竜,(長野県 白馬村)
3,Adatara Kogen,Nihonmatsu,Fukushima,37.622532,140.324427,fukushima/nihonmatsu/adatara-kogen,あだたら高原,(福島県 二本松市)
5,Aizu Kogen Nango,Minami Aizu,Fukushima,37.1099183,139.6163485,fukushima/minami-aizu/aizu-kogen-nango,会津高原南郷,(福島県 南会津町)
9,Akakura Onsen,Myoko,Niigata,36.890901,138.176707,niigata/myoko/akakura-onsen,赤倉温泉,(新潟県 妙高市)
11,Akita Hachimantai,Kazuno,Akita,40.0670801,140.7827828,akita/kazuno/akita-hachimantai,秋田八幡平,(秋田県 鹿角市)
12,Amihari Onsen,Shizukuishi,Iwate,39.821275,140.93627,iwate/shizukuishi/amihari-onsen,網張温泉,(岩手県 雫石町)
14,Anpeizan,Abira,Hokkaido,42.8639955,141.7980651,hokkaido/abira/anpeizan,安平山,(北海道 安平町)
15,Aomori Spring Ski Resort,Ajigasawa,Aomori,40.693185,140.2793,aomori/ajigasawa/aomori-spring-ski-resort,青森スプリング・スキーリゾート,(青森県 鰺ヶ沢町)
17,Asahi Prime,Asahi,Nagano,36.1157389,137.834586,/nagano/asahi-nagano/asahi-prime,あさひプライム,(長野県 朝日村)
18,Asahi Shizenkan,Asahi,Yamagata,38.3050131,140.058493,yamagata/asahi/asahi-shizenkan,Asahi自然観スノーパーク,(山形県 朝日町)
19,Asama 2000 Park,Komoro,Nagano,36.4078826,138.4646114,nagano/komoro/asama-2000-park,アサマ2000パーク,(長野県 小諸市)
20,Asarigawa Onsen,Otaru,Hokkaido,43.165153,141.0495947,hokkaido/otaru/asarigawa-onsen,朝里川温泉,(北海道 小樽市)
21,Bibai Kokusetsu,Bibai,Hokkaido,43.3219591,141.9503621,hokkaido/bibai/bibai-kokusetsu,美唄国設,(北海道 美唄町)
23,Charmant Hiuchi,Itoigawa,Niigata,36.9993875,138.0692194,niigata/itoigawa/charmant-hiuchi,シャルマン火打,(新潟県 糸魚川市)
25,Chateraise Ski Resort Yatsugatake,Kawakami,Nagano,35.9307913,138.4948563,nagano/kawakami/chateraise-resort-yatsugatake,シャトレーゼスキーリゾート八ヶ岳,(長野県 川上村)
